ID,Category,Question,Answer
1,Basics,What is React.js?,"A JavaScript library developed by Facebook for building user interfaces, specifically for single-page applications."
2,Basics,What are the key features of React?,"Virtual DOM, Server-Side Rendering (SSR), Unidirectional Data Flow, and Reusable/Composable Components."
3,Basics,What is JSX?,JSX (JavaScript XML) is a syntax extension for JavaScript that allows you to write HTML-like code inside JavaScript files.
4,Basics,Can browsers read JSX?,No. Browsers can only read JavaScript objects. JSX must be transpiled (usually by Babel) into standard JavaScript.
5,Basics,What is the Virtual DOM?,It is a lightweight copy of the real DOM. React uses it to compare changes (diffing) and update only the changed parts of the real DOM (reconciliation).
6,Basics,What is the difference between Real DOM and Virtual DOM?,The Real DOM is slow to update directly; the Virtual DOM is faster because it updates in memory and only syncs changes to the Real DOM.
7,Components,What are the two main types of components in React?,Class Components (stateful/legacy) and Functional Components (stateless/modern).
8,Components,What is a Pure Component?,A component that renders the same output for the same state and props. It handles shouldComponentUpdate automatically by shallow comparison.
9,Data,What is state in React?,"An internal data structure (object) that allows components to create and manage their own data, which can change over time."
10,Data,What are props?,Short for properties. They are read-only inputs passed from a parent component to a child component.
11,Data,What is the difference between State and Props?,State is managed within the component (mutable); Props are passed to the component (immutable).
12,Data,"What is ""Prop Drilling""?",The process of passing data from a parent to a deeply nested child component through intermediate components that don't need the data.
13,Hooks,What are React Hooks?,Functions introduced in React 16.8 that allow you to use state and lifecycle features in functional components.
14,Hooks,What is useState?,A hook that lets you add React state to function components.
15,Hooks,What is useEffect?,"A hook that lets you perform side effects (data fetching, subscriptions, manual DOM changes) in function components."
16,Hooks,What does the dependency array [] in useEffect do?,"If empty [], the effect runs only once (like componentDidMount). If values are inside, it runs when those values change."
17,Hooks,What is useContext?,"A hook that accepts a context object and returns the current context value, used to avoid prop drilling."
18,Hooks,What is useReducer?,"A hook used for complex state logic (similar to Redux), where the next state depends on the previous one."
19,Hooks,What is useMemo?,A hook that memoizes a value. It only re-computes the value when one of the dependencies has changed.
20,Hooks,What is useCallback?,A hook that memoizes a function instance to prevent it from being recreated on every render.
21,Hooks,What is useRef?,A hook that creates a mutable object which persists across renders. It is often used to access DOM elements directly.
22,Lifecycle,What are the three phases of a React component lifecycle?,"Mounting, Updating, and Unmounting."
23,Lifecycle,What is componentDidMount?,A lifecycle method (Class component) called immediately after a component is mounted. Good for API calls.
24,Lifecycle,What is componentWillUnmount?,A lifecycle method called immediately before a component is destroyed. Used for cleanup (removing listeners/timers).
25,Forms,What are Controlled Components?,Components where form data is handled by the React component's state.
26,Forms,What are Uncontrolled Components?,Components where form data is handled by the DOM itself (using refs).
27,Core,"What is the significance of ""keys"" in lists?","Keys help React identify which items have changed, added, or removed. They must be stable and unique among siblings."
28,Core,Why should you not use Index as a key?,"If the list order changes (sorting/filtering), using index can cause performance issues and incorrect component state."
29,Advanced,What are Higher-Order Components (HOC)?,"A function that takes a component and returns a new component (e.g., connect in Redux or withRouter)."
30,Advanced,What is React Context?,A way to pass data through the component tree without having to pass props down manually at every level.
31,Advanced,What are React Portals?,"A way to render children into a DOM node that exists outside the DOM hierarchy of the parent component (e.g., Modals)."
32,Advanced,What are Error Boundaries?,Components that catch JavaScript errors anywhere in their child component tree and display a fallback UI.
33,Advanced,"What is ""lifting state up""?",Moving state to a common ancestor so that multiple child components can share and sync that data.
34,Redux,What is Redux?,"A predictable state container for JavaScript apps, often used with React for managing global state."
35,Redux,What are the three core principles of Redux?,"Single source of truth, State is read-only, Changes are made with pure functions (reducers)."
36,Redux,What is an Action in Redux?,"A plain JavaScript object describing ""what happened"" (has a type property)."
37,Redux,What is a Reducer in Redux?,"A pure function that takes the previous state and an action, and returns the new state."
38,Router,What is React Router?,"A standard library for routing in React, enabling navigation between views without refreshing the page."
39,Router,What is the difference between <Link> and <a> tag?,<a> triggers a full page refresh; <Link> updates the URL and renders components without reloading the page.
40,Performance,What is Lazy Loading in React?,"A technique to load components only when they are needed (using React.lazy and Suspense), reducing initial bundle size."
41,Performance,What is Code Splitting?,Splitting the code into various bundles which can then be loaded on demand or in parallel.
42,Performance,What is React.memo?,A higher-order component that wraps a functional component to prevent re-renders if props have not changed.
43,Testing,What is Jest?,A JavaScript testing framework widely used with React for unit and integration testing.
44,Testing,What is React Testing Library?,A library for testing React components that encourages testing behavior (what the user sees) rather than implementation details.
45,Styling,What are Styled Components?,A library for CSS-in-JS that allows you to write actual CSS code to style your components.
46,Advanced,What is Fiber?,"The new reconciliation engine in React 16, capable of pausing and prioritizing work (rendering)."
47,Advanced,What is Hydration?,The process where React attaches event listeners to the HTML rendered by the server (SSR) to make it interactive.
48,Security,How does React handle XSS (Cross-Site Scripting)?,"React escapes all values embedded in JSX by default before rendering them, preventing injection attacks."
49,Components,What are Fragments?,A pattern (<></> or <React.Fragment>) to group a list of children without adding extra nodes to the DOM.
50,Hooks,What are the Rules of Hooks?,1. Only call Hooks at the top level (not inside loops or conditions). 2. Only call Hooks from React functions.
51,Hooks,What is a Custom Hook?,"A JavaScript function whose name starts with ""use"" and calls other Hooks. It allows you to extract and reuse component logic."
52,Hooks,What is useLayoutEffect?,"Similar to useEffect, but it fires synchronously after all DOM mutations. Use it for reading layout from the DOM and synchronously re-rendering."
53,Hooks,Difference between useEffect and useLayoutEffect?,useEffect runs asynchronously after the render is painted to the screen. useLayoutEffect runs synchronously before the browser paints (blocking visual updates).
